weather_event,"Burlington, VT,","Binghamton, NY,","Charleston, WV,","Albany, NY,","Nashville, TN,","Shreveport, LA,","Great Falls, MT,","Pocatello, ID,","NWS Phoenix,","Gray - Portland, ME,","Philadelphia/Mt Holly,","NWS Wilmington, NC,","Charleston, SC,","Newport/Morehead City, NC"
wind,4,1,0,0,12,5,1,2,0,0,0,0,0,5
tornado,1,5,1,1,88,69,0,1,0,0,0,1,0,23
waterspout,0,0,0,0,0,1,0,0,0,0,0,0,0,2
microburst,2,0,0,0,2,0,0,1,0,0,1,0,0,0
ice,1,0,0,0,0,0,0,0,0,0,0,0,0,1
storm,0,23,0,4,23,1,0,1,0,0,0,0,0,4
cold,0,1,0,0,1,0,0,0,0,0,0,1,0,0
snowstorm,0,0,0,2,0,0,0,0,0,0,0,0,0,5
snow,0,0,0,1,10,2,0,0,0,0,0,0,0,9
hail,0,0,0,0,0,3,0,0,0,0,0,0,0,4
rain,0,0,0,0,0,1,0,1,0,0,0,0,0,1
cyclon,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tornad,0,0,0,0,0,0,0,0,0,0,0,0,0,1
downburst,0,0,0,0,0,0,0,0,0,0,0,0,0,2
hailstorm,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tornadocan,0,0,0,0,0,0,0,0,0,0,0,0,0,1
widespread,1,0,0,0,0,2,0,0,0,0,0,0,0,0
sever,7,28,0,0,32,6,0,0,0,0,0,0,0,9
rainfal,1,3,0,0,1,1,0,0,0,0,0,0,1,0
flood,1,11,0,4,16,1,0,0,0,0,0,0,0,4
thunderstorm,0,1,0,0,5,1,0,2,0,0,0,0,0,5
outbreak,0,2,0,0,25,4,0,0,0,0,0,1,0,8
flash,0,3,0,4,8,0,0,0,0,0,0,0,0,0
snowfal,0,8,0,0,0,0,0,0,0,0,0,0,0,0
winter,0,3,0,0,0,3,0,1,0,0,0,0,0,0
heat,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hurrican,0,0,0,2,3,3,0,0,0,0,0,1,0,25
tropic,0,0,0,1,2,0,0,0,0,0,0,0,0,6
freez,0,0,0,1,0,0,0,0,0,0,0,0,0,1
blizzard,0,0,0,2,0,0,0,0,0,0,0,0,0,0
gustnado,0,0,0,0,0,0,0,0,0,0,0,0,0,1
